Datum,Tests pro Tag,Davon positiv
2020-02-06,1,0
2020-02-12,1,0
2020-02-24,33,1
2020-02-25,159,0
2020-02-26,317,8
2020-02-27,278,11
2020-02-28,441,10
2020-02-29,254,14
2020-03-01,371,18
2020-03-02,474,21
2020-03-03,714,66
2020-03-04,593,84
2020-03-05,587,132
2020-03-06,957,97
2020-03-07,727,67
2020-03-08,744,88
2020-03-09,1631,147
2020-03-10,2172,215
2020-03-11,2724,373
2020-03-12,4635,324
2020-03-13,4689,427
2020-03-14,5245,477
2020-03-15,2524,363
2020-03-16,5279,491
2020-03-17,9355,1066
2020-03-18,10591,1313
2020-03-19,9618,1347
2020-03-20,8083,1237
2020-03-21,6393,1132
2020-03-22,3289,803
2020-03-23,6642,1262
2020-03-24,5797,1513
2020-03-25,7665,1180
2020-03-26,7862,1313
2020-03-27,7197,1339
2020-03-28,5763,1009
2020-03-29,2760,577
2020-03-30,4488,1095
2020-03-31,7121,1381
2020-04-01,6657,1125
2020-04-02,6960,1065
2020-04-03,6513,1036
2020-04-04,5203,702
2020-04-05,3305,390
2020-04-06,4105,751
2020-04-07,6855,973
2020-04-08,6561,794
2020-04-09,6016,722
2020-04-10,3979,430
2020-04-11,2791,377
2020-04-12,2299,278
2020-04-13,2195,299
2020-04-14,3922,459
2020-04-15,5587,464
2020-04-16,5131,467
2020-04-17,4597,386
2020-04-18,3693,266
2020-04-19,2119,104
2020-04-20,3430,292
2020-04-21,4967,328
2020-04-22,4637,274
2020-04-23,4535,281
2020-04-24,4784,234
2020-04-25,4032,145
2020-04-26,2362,92
2020-04-27,3748,202
2020-04-28,5593,229
2020-04-29,5812,186
2020-04-30,4848,204
2020-05-01,4445,147
2020-05-02,3124,81
2020-05-03,2516,45
2020-05-04,3862,127
2020-05-05,5891,118
2020-05-06,5365,134
2020-05-07,4675,84
2020-05-08,4354,100
2020-05-09,3136,72
2020-05-10,1422,28
2020-05-11,5068,66
2020-05-12,5566,72
2020-05-13,6232,62
2020-05-14,5705,63
2020-05-15,5595,73
2020-05-16,3270,43
2020-05-17,1743,19
2020-05-18,4412,66
2020-05-19,5992,66
2020-05-20,4862,58
2020-05-21,2117,23
2020-05-22,3565,36
2020-05-23,2527,15
2020-05-24,1659,13
2020-05-25,4003,24
2020-05-26,5693,40
2020-05-27,5002,30
2020-05-28,4192,38
2020-05-29,3712,41
2020-05-30,2588,18
2020-05-31,1572,14
2020-06-01,1782,5
2020-06-02,4282,34
2020-06-03,5267,37
2020-06-04,5217,31
2020-06-05,4821,24
2020-06-06,3121,16
2020-06-07,1541,9
2020-06-08,4712,28
2020-06-09,6493,52
2020-06-10,6600,20
2020-06-11,5609,34
2020-06-12,6456,45
2020-06-13,4358,26
2020-06-14,1794,13
2020-06-15,6505,26
2020-06-16,10044,30
2020-06-17,9615,29
2020-06-18,8433,17
2020-06-19,7586,38
2020-06-20,4698,38
2020-06-21,1779,14
2020-06-22,8204,33
2020-06-23,11674,58
2020-06-24,9151,55
2020-06-25,9263,65
2020-06-26,10193,92
2020-06-27,6447,52
2020-06-28,2536,33
2020-06-29,14089,113
2020-06-30,15033,180
2020-07-01,11242,124
2020-07-02,10892,131
2020-07-03,10378,104
2020-07-04,6216,62
2020-07-05,2519,35
2020-07-06,7826,110
2020-07-07,9997,140
2020-07-08,8866,115
2020-07-09,8532,119
2020-07-10,7698,123
2020-07-11,4745,109
2020-07-12,1946,53
2020-07-13,6842,109
2020-07-14,8811,176
2020-07-15,7767,155
2020-07-16,7284,124
2020-07-17,6720,134
2020-07-18,3766,87
2020-07-19,1776,62
2020-07-20,5684,119
2020-07-21,6823,143
2020-07-22,6722,134
2020-07-23,5510,176
2020-07-24,5539,177
2020-07-25,3632,116
2020-07-26,1787,55
2020-07-27,5530,194
2020-07-28,7339,198
2020-07-29,6852,274
2020-07-30,7089,248
2020-07-31,5711,211
2020-08-01,3053,119
2020-08-02,2132,72
2020-08-03,6233,187
2020-08-04,7317,212
2020-08-05,6793,204
2020-08-06,6619,192
2020-08-07,6166,210
2020-08-08,3726,142
2020-08-09,2026,122
2020-08-10,6055,254
2020-08-11,7368,295
2020-08-12,6728,262
2020-08-13,7338,279
2020-08-14,7334,286
2020-08-15,4851,194
2020-08-16,2446,132
2020-08-17,8235,280
2020-08-18,10579,349
2020-08-19,9433,292
2020-08-20,10135,395
2020-08-21,9984,369
2020-08-22,6139,252
2020-08-23,3313,159
2020-08-24,9989,270
2020-08-25,13201,396
2020-08-26,12878,425
2020-08-27,13138,394
2020-08-28,12542,376
2020-08-29,8367,310
2020-08-30,3864,139
2020-08-31,11408,308
2020-09-01,16451,428
2020-09-02,16056,434
2020-09-03,15534,466
2020-09-04,14505,435
2020-09-05,9530,438
2020-09-06,4344,195
2020-09-07,13428,389
2020-09-08,17547,491
2020-09-09,16432,509
2020-09-10,15710,597
2020-09-11,14178,539
2020-09-12,9868,474
2020-09-13,4159,245
2020-09-14,12849,463
2020-09-15,16814,521
2020-09-16,15450,587
2020-09-17,15268,565
2020-09-18,13431,470
2020-09-19,7812,398
2020-09-20,3582,219
2020-09-21,10369,332
2020-09-22,13465,525
2020-09-23,12950,440
2020-09-24,11895,369
2020-09-25,11246,427
2020-09-26,5998,270
2020-09-27,2821,164
2020-09-28,9389,319
2020-09-29,12461,498
2020-09-30,11925,596
2020-10-01,12054,591
2020-10-02,11249,652
2020-10-03,7602,623
2020-10-04,3558,342
2020-10-05,11883,856
2020-10-06,14861,1115
2020-10-07,15383,1354
2020-10-08,15821,1519
2020-10-09,16048,1733
2020-10-10,10819,1569
2020-10-11,5138,827
2020-10-12,15078,1975
2020-10-13,20409,2796
2020-10-14,20357,2911
2020-10-15,22159,3280
2020-10-16,24420,3785
2020-10-17,16140,2986
2020-10-18,8519,1763
2020-10-19,21482,4168
2020-10-20,29110,5938
2020-10-21,28404,6135
2020-10-22,30689,6813
2020-10-23,32525,7546
2020-10-24,23103,5914
2020-10-25,13164,3686
2020-10-26,28887,7540
2020-10-27,38011,10111
2020-10-28,37507,9677
2020-10-29,38151,9767
2020-10-30,38314,9885
2020-10-31,24549,6800
2020-11-01,12846,3918
2020-11-02,30392,8084
2020-11-03,38360,10894
2020-11-04,36620,9887
2020-11-05,35229,8913
2020-11-06,32723,8181
2020-11-07,22764,5668
2020-11-08,11883,3446
2020-11-09,27606,7233
2020-11-10,34632,8935
2020-11-11,31506,7309
2020-11-12,30700,6815
2020-11-13,28306,6227
2020-11-14,18589,4294
2020-11-15,9440,2492
2020-11-16,25871,6054
2020-11-17,29317,6362
2020-11-18,26426,5523
2020-11-19,25595,5093
2020-11-20,25645,4667
2020-11-21,16545,3226
2020-11-22,9414,2052
2020-11-23,26562,5047
2020-11-24,29683,5105
2020-11-25,27730,4742
2020-11-26,26231,4302
2020-11-27,26116,4466
2020-11-28,15825,2817
2020-11-29,8792,1846
2020-11-30,25411,4955
2020-12-01,27198,4950
2020-12-02,27973,4839
2020-12-03,27449,4502
2020-12-04,28653,4756
2020-12-05,18313,3241
2020-12-06,10123,2055
2020-12-07,29125,5301
2020-12-08,31489,5290
2020-12-09,33060,5356
2020-12-10,34752,5248
2020-12-11,39585,5027
2020-12-12,27005,3538
2020-12-13,15575,2290
2020-12-14,32235,5190
2020-12-15,39553,5854
2020-12-16,41229,5277
2020-12-17,43994,4795
2020-12-18,45105,4916
2020-12-19,26553,3186
2020-12-20,15271,2123
2020-12-21,38740,5191
2020-12-22,45224,5201
2020-12-23,46785,5146
2020-12-24,34877,4046
2020-12-25,13064,1920
2020-12-26,15326,2360
2020-12-27,12944,2291
2020-12-28,29215,4791
2020-12-29,29678,5016
2020-12-30,28554,4683
2020-12-31,23739,3703
2021-01-01,10114,1729
2021-01-02,16024,2772
2021-01-03,12417,2372
2021-01-04,29716,4814
2021-01-05,31525,5012
2021-01-06,27110,3714
2021-01-07,27749,3718
2021-01-08,26687,3283
2021-01-09,15856,2236
2021-01-10,8960,1416
2021-01-11,27760,3331
2021-01-12,25935,3086
2021-01-13,24657,2786
2021-01-14,23941,2634
2021-01-15,22887,2334
2021-01-16,14511,1727
2021-01-17,7962,1043
2021-01-18,27838,2784
2021-01-19,31534,2870
2021-01-20,26886,2447
2021-01-21,26120,2220
2021-01-22,26695,2216
2021-01-23,16060,1413
2021-01-24,8124,747
2021-01-25,25859,2172
2021-01-26,27997,2100
2021-01-27,25929,2100
2021-01-28,29024,2032
2021-01-29,29426,1972
2021-01-30,18922,1343
2021-01-31,10971,878
2021-02-01,28826,2075
2021-02-02,30516,2014
2021-02-03,31264,1876
2021-02-04,34702,1805
2021-02-05,31594,1706
2021-02-06,18476,1146
2021-02-07,10901,719
2021-02-08,33564,1712
2021-02-09,33634,1749
2021-02-10,32130,1446
2021-02-11,34394,1410
2021-02-12,32522,1268
2021-02-13,18583,948
2021-02-14,9454,605
2021-02-15,31026,1334
2021-02-16,31045,1335
2021-02-17,29635,1422
2021-02-18,30712,1136
2021-02-19,30182,1268
2021-02-20,15662,830
2021-02-21,8622,569
2021-02-22,26864,1424
2021-02-23,27663,1438
2021-02-24,26561,1275
2021-02-25,30927,1268
2021-02-26,30880,1266
2021-02-27,16443,904
2021-02-28,8941,608
2021-03-01,27998,1428
2021-03-02,29940,1437
2021-03-03,28794,1411
2021-03-04,30943,1207
2021-03-05,31605,1327
2021-03-06,16150,1017
2021-03-07,9130,593
2021-03-08,31536,1640
2021-03-09,33510,1676
2021-03-10,32079,1636
2021-03-11,34745,1459
2021-03-12,34393,1513
2021-03-13,17793,1139
2021-03-14,10443,752
2021-03-15,35867,1793
2021-03-16,37939,2011
2021-03-17,38128,1945
2021-03-18,41572,1912
2021-03-19,39756,1749
2021-03-20,22392,1344
2021-03-21,13358,868
2021-03-22,41582,2162
2021-03-23,42056,2313
2021-03-24,39394,2206
2021-03-25,43510,2263
2021-03-26,43762,2319
2021-03-27,26379,1609
2021-03-28,15017,1051
2021-03-29,39516,2371
2021-03-30,47429,2561
2021-03-31,56427,2370
2021-04-01,56326,2478
2021-04-02,27833,1419
2021-04-03,29009,1595
2021-04-04,16986,1138
2021-04-05,17751,1296
2021-04-06,30324,2335