,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,260.47,282.01,270.63,275.34,273.06,272.74,269.48,276.94,4.61,216,1004,1038,1023.5,1022.5,1014.5,1031.0,10.05,216,21,100,92.0,85.75,80.0,97.0,17.21,209,0.0,7.7,1.11,1.5,0.64,2.1,1.21,216,0,0.9,0,0.07,0,0.0,0.16,216,0,90,75.0,59.09,34.0,90.0,32.77,216
0,1,2,264.13,280.28,270.47,275.56,273.32,273.09,271.0,275.66,3.58,216,1004,1037,1018.0,1020.67,1013.0,1030.0,9.68,216,21,100,92.0,83.84,74.0,97.0,18.37,214,0.0,8.7,1.0,1.68,0.69,2.1,1.5,216,0,0.9,0,0.14,0,0.3,0.26,216,0,100,76.5,75.06,75.0,90.0,20.87,216
0,1,3,263.27,288.12,269.81,276.26,272.29,273.01,270.64,275.76,3.98,216,901,1037,1019.0,1016.07,1011.0,1028.0,24.91,216,42,100,92.0,85.47,80.0,96.0,13.94,216,0.0,20.6,1.0,2.1,0.77,2.1,2.85,216,0,3.0,0,0.21,0,0.0,0.65,216,0,100,75.0,67.89,44.0,90.0,25.94,216
0,1,4,265.71,285.81,270.01,276.2,272.71,273.21,270.13,276.52,4.24,216,998,1039,1020.5,1019.75,1008.0,1034.0,13.52,216,22,100,92.0,86.55,80.0,96.0,13.43,214,0.0,9.8,1.5,1.86,0.81,2.6,1.62,216,0,0.9,0,0.21,0,0.3,0.32,216,0,96,75.0,63.38,40.0,90.0,29.83,216
0,1,5,261.43,284.5,269.62,275.16,272.83,272.74,269.4,274.77,5.05,216,998,1039,1024.0,1020.77,1008.0,1034.0,13.81,216,50,100,92.0,88.55,81.0,97.0,10.69,216,0.0,7.2,1.0,1.42,0.59,1.5,1.26,216,0,0.9,0,0.06,0,0.0,0.17,216,0,92,75.0,59.26,20.5,90.0,35.4,216
0,1,6,260.86,280.96,269.54,274.75,272.31,272.27,268.46,275.52,4.88,216,1001,1037,1026.0,1021.65,1011.0,1032.0,11.59,216,48,100,91.0,87.86,86.0,96.0,11.31,216,0.0,5.1,1.0,1.22,0.65,1.5,0.82,216,0,0.3,0,0.03,0,0.0,0.09,216,0,90,75.0,53.59,9.0,90.0,36.49,216
0,1,7,258.97,280.42,269.44,275.42,273.16,272.35,269.08,276.15,5.13,216,1000,1035,1029.5,1023.3,1014.5,1032.0,10.31,216,26,100,91.0,87.07,81.0,95.0,10.66,216,0.0,6.2,1.0,1.31,0.75,1.5,0.88,216,0,0.3,0,0.02,0,0.0,0.08,216,0,92,75.0,59.15,27.5,90.0,33.58,216
0,1,8,262.02,280.01,270.16,276.32,273.25,273.35,271.06,276.4,3.6,216,1005,1036,1025.0,1023.06,1016.0,1030.0,8.18,216,25,100,92.0,87.19,80.0,97.0,13.58,216,0.0,4.6,1.0,1.37,0.76,1.54,0.91,216,0,0.9,0,0.09,0,0.0,0.22,216,0,100,75.0,55.29,20.0,90.0,35.05,216
0,1,9,266.74,281.84,271.0,277.12,274.19,274.14,272.17,276.32,3.15,216,1003,1037,1019.0,1019.85,1015.0,1026.5,8.21,216,42,100,86.0,83.31,74.0,95.0,13.44,208,0.0,6.7,1.5,1.61,0.82,2.1,1.08,216,0,3.0,0,0.24,0,0.3,0.59,216,0,100,75.0,66.77,41.0,90.0,31.3,216
0,1,10,266.26,281.61,270.84,275.96,272.84,273.72,271.43,276.15,3.28,216,999,1030,1019.0,1016.91,1013.0,1021.0,7.11,216,33,100,91.0,86.13,75.0,97.0,13.06,215,0.0,5.7,1.09,1.41,0.72,1.54,0.98,216,0,0.9,0,0.16,0,0.3,0.27,216,0,94,75.0,66.85,45.0,90.0,30.06,216
0,1,11,267.63,279.98,270.85,276.17,273.15,273.36,271.77,275.53,2.91,216,993,1033,1019.0,1018.18,1014.0,1024.5,9.72,216,50,100,93.0,88.67,81.0,98.0,11.49,210,0.0,7.2,1.06,1.49,0.8,2.06,1.15,216,0,0.9,0,0.21,0,0.3,0.32,216,0,92,75.0,73.02,73.5,90.0,22.41,216
0,1,12,267.43,278.36,271.26,275.48,274.22,273.44,270.85,275.62,2.79,216,999,1031,1021.0,1019.68,1016.0,1026.0,7.96,216,36,100,93.0,88.4,80.5,97.0,12.05,212,0.0,7.7,1.34,1.61,0.91,2.08,1.21,216,0,0.9,0,0.12,0,0.3,0.18,216,0,100,75.0,62.3,39.0,90.0,35.47,216
0,1,13,260.48,279.81,270.28,276.68,274.15,273.43,271.49,276.15,3.72,216,973,1028,1018.0,1016.72,1014.0,1021.0,6.83,216,40,100,92.0,85.99,79.0,96.0,13.69,202,0.0,10.3,1.37,1.56,0.75,2.08,1.33,216,0,0.9,0,0.09,0,0.0,0.24,216,0,98,75.0,55.29,22.0,80.5,32.95,216
0,1,14,260.6,280.17,269.23,274.99,273.01,272.59,270.86,274.77,3.96,216,889,1023,1016.0,1014.24,1011.0,1019.0,10.55,216,47,100,93.0,88.67,80.0,99.0,12.68,201,0.0,6.2,1.03,1.7,0.74,2.34,1.39,216,0,3.0,0,0.16,0,0.3,0.34,216,0,92,75.0,73.33,75.0,90.0,23.51,216
0,1,15,264.88,280.64,269.71,274.3,272.15,271.77,269.95,273.61,3.3,216,1008,1029,1017.0,1017.2,1013.0,1021.0,4.63,216,45,100,92.0,88.36,86.0,95.0,11.05,194,0.0,5.7,1.21,1.56,0.81,2.08,1.09,216,0,0.9,0,0.06,0,0.0,0.18,216,0,90,75.0,56.05,24.0,90.0,33.39,216
0,1,16,263.39,283.15,269.23,274.98,270.59,271.87,268.95,274.72,4.85,216,993,1029,1016.0,1015.44,1008.0,1023.0,8.56,216,39,100,86.0,83.88,74.0,94.0,12.6,209,0.0,14.4,1.03,2.01,0.83,2.1,2.37,216,0,0.9,0,0.1,0,0.0,0.25,216,0,92,73.0,55.69,29.5,75.0,31.46,216
0,1,17,257.7,280.0,267.9,273.86,271.17,271.26,268.92,274.7,4.66,216,884,1027,1016.0,1011.41,1008.0,1023.0,24.91,216,44,100,93.0,84.38,73.0,97.0,14.86,215,0.0,15.4,1.22,2.42,0.87,2.6,2.76,216,0,0.9,0,0.09,0,0.0,0.23,216,0,98,75.0,67.8,70.0,90.0,27.05,216
0,1,18,253.88,282.33,267.49,272.94,269.88,270.24,267.23,274.49,5.91,216,1001,1029,1018.0,1018.13,1012.0,1026.5,7.93,216,50,100,87.0,84.04,75.0,95.0,12.53,216,0.0,8.7,1.1,1.85,0.83,2.1,1.71,216,0,0.9,0,0.07,0,0.0,0.2,216,0,100,75.0,52.39,20.0,75.0,33.9,216
0,1,19,260.44,283.07,267.29,273.73,269.21,270.23,267.34,272.99,4.41,216,989,1039,1015.0,1015.77,1011.0,1023.0,10.64,216,23,100,86.0,82.89,73.0,94.0,13.87,216,0.0,12.3,1.13,1.78,0.79,2.1,1.83,216,0,0.9,0,0.06,0,0.0,0.2,216,0,99,57.0,52.5,32.0,75.0,31.89,216
0,1,20,262.71,280.43,267.74,273.46,269.94,270.39,268.06,272.3,3.59,216,871,1040,1013.0,1012.11,1005.0,1020.0,21.18,216,23,100,88.0,85.18,79.0,97.0,15.08,216,0.0,7.2,1.0,1.6,0.61,2.57,1.34,216,0,3.0,0,0.06,0,0.0,0.31,216,0,100,75.0,62.38,44.5,90.0,33.1,216
0,1,21,260.77,280.84,268.03,273.82,271.06,270.95,267.76,273.92,4.47,216,989,1039,1016.0,1015.09,1008.0,1026.0,13.08,216,30,100,92.0,87.86,80.0,98.0,12.33,207,0.0,9.3,1.0,1.47,0.58,2.1,1.39,216,0,0.9,0,0.08,0,0.0,0.22,216,0,100,75.0,59.98,24.0,90.0,34.46,216
0,1,22,258.49,282.17,267.94,274.5,270.89,271.15,267.86,273.86,5.13,216,876,1034,1013.0,1011.28,1004.5,1025.0,23.7,216,31,100,92.0,86.42,79.0,96.0,13.39,210,0.0,6.2,1.44,1.54,0.64,2.57,1.17,216,0,3.0,0,0.13,0,0.0,0.45,216,0,100,75.0,51.36,0.0,90.0,37.91,216
0,1,23,264.95,281.0,269.0,273.75,270.98,271.39,267.84,273.75,4.02,216,883,1039,1019.0,1013.13,1001.5,1027.0,24.69,216,34,100,92.0,87.71,81.0,97.0,13.61,215,0.0,5.7,1.0,1.27,0.5,2.1,1.04,216,0,0.9,0,0.11,0,0.0,0.27,216,0,92,75.0,62.46,40.0,90.0,31.4,216
0,1,24,257.46,283.0,267.24,273.47,271.12,270.42,267.15,273.37,4.53,216,846,1038,1020.5,1011.16,1005.0,1024.0,34.14,216,25,100,92.0,86.58,80.0,97.0,14.03,214,0.0,8.23,0.92,1.3,0.55,1.54,1.17,216,0,0.3,0,0.01,0,0.0,0.05,216,0,100,75.0,56.54,24.5,83.0,33.12,216
0,1,25,256.64,281.86,266.65,273.5,271.43,270.1,267.43,273.44,5.36,216,846,1035,1018.0,1005.85,1011.0,1025.0,46.07,214,32,100,93.0,87.27,80.0,97.0,14.11,207,0.0,6.17,1.0,1.33,0.53,1.57,1.13,216,0,0.3,0,0.0,0,0.0,0.02,216,0,95,69.5,47.15,0.0,90.0,39.24,216
0,1,26,258.95,281.59,267.42,274.06,271.72,270.98,268.04,274.01,4.64,216,507,1033,1020.0,1017.75,1015.0,1024.0,35.49,215,40,100,87.0,85.16,80.0,96.0,12.97,215,0.0,5.1,1.03,1.44,0.66,1.8,1.04,216,0,0.9,0,0.02,0,0.0,0.1,216,0,92,75.0,64.51,40.0,90.0,31.38,216
0,1,27,257.27,280.36,267.29,274.72,271.48,271.51,267.99,275.07,5.06,216,992,1035,1019.0,1016.51,1012.0,1024.0,10.37,216,29,100,93.0,89.56,85.0,97.0,9.96,214,0.0,5.7,1.0,1.21,0.57,1.5,0.92,216,0,0.9,0,0.04,0,0.0,0.11,216,0,98,75.0,57.99,29.5,88.0,31.3,216
0,1,28,257.86,282.0,268.9,275.49,273.86,272.1,268.04,276.17,5.23,216,504,1038,1013.0,1010.58,1006.0,1023.0,50.02,215,39,100,93.0,84.77,75.0,95.0,16.55,215,0.0,15.4,1.0,1.97,0.62,2.6,2.29,216,0,0.9,0,0.07,0,0.0,0.2,216,0,98,62.5,55.63,40.0,75.0,28.39,216
0,1,29,255.94,282.92,269.4,276.3,273.46,272.68,270.06,275.75,5.51,216,981,1037,1012.5,1014.31,1005.0,1023.0,13.08,216,28,100,93.0,87.84,80.0,97.0,13.24,213,0.0,11.32,1.0,1.72,0.84,2.1,1.65,216,0,3.0,0,0.21,0,0.3,0.37,216,0,100,75.0,49.71,3.0,88.0,37.5,216
0,1,30,260.26,282.15,269.41,276.23,274.56,273.09,268.68,276.72,5.22,216,979,1033,1016.5,1010.87,1000.0,1022.0,14.82,216,24,100,90.0,85.85,81.0,95.0,13.53,212,0.0,8.7,1.03,1.52,0.85,1.84,1.27,216,0,0.9,0,0.13,0,0.0,0.27,216,0,100,75.0,59.16,27.0,88.5,32.12,216
0,1,31,263.3,285.18,272.04,277.7,275.85,274.54,270.72,277.61,5.18,216,901,1026,1015.0,1008.12,998.0,1017.0,13.79,216,49,100,93.0,88.63,86.0,96.0,11.26,216,0.0,5.1,1.12,1.42,0.75,1.8,0.94,216,0,3.0,0,0.35,0,0.3,0.78,216,0,100,75.0,63.75,44.0,90.0,30.06,216
0,2,1,261.87,284.39,271.84,277.6,275.96,274.66,272.59,277.53,5.14,216,848,1028,1007.0,1007.46,996.0,1017.0,16.21,216,58,100,93.0,90.8,86.0,97.0,8.74,214,0.0,5.1,1.03,1.38,0.55,2.06,1.02,216,0,0.9,0,0.16,0,0.3,0.25,216,0,94,75.0,60.87,39.0,80.0,29.5,216
0,2,2,260.92,284.26,272.17,277.1,275.14,274.65,271.46,277.63,5.15,216,885,1028,1009.0,1007.57,1004.0,1016.0,19.0,216,46,100,93.0,89.99,86.0,98.0,10.49,216,0.0,5.7,1.03,1.56,0.64,2.1,1.26,216,0,3.0,0,0.1,0,0.0,0.35,216,0,100,75.0,66.64,40.0,90.0,28.4,216
0,2,3,259.37,286.42,272.18,277.15,274.02,274.43,271.5,278.87,6.38,216,990,1027,1009.0,1010.34,1006.0,1017.0,7.16,216,33,100,94.0,88.07,85.0,98.0,14.55,207,0.0,8.2,1.03,1.87,0.66,2.6,1.71,216,0,0.9,0,0.16,0,0.3,0.25,216,0,100,75.0,66.08,53.5,89.5,27.1,216
0,2,4,258.48,287.09,269.27,276.21,272.86,272.57,269.94,275.77,5.32,216,851,1032,1014.5,1013.73,1010.0,1022.0,20.89,216,39,100,92.0,85.13,74.0,96.0,14.63,210,0.0,14.9,1.0,1.81,0.62,2.1,2.13,216,0,0.9,0,0.04,0,0.0,0.11,216,0,100,75.0,61.44,40.0,90.0,30.64,216
0,2,5,261.84,284.17,269.35,275.21,272.67,272.27,270.54,274.99,4.43,216,832,1035,1017.0,1014.9,1009.0,1027.0,23.74,216,45,100,92.0,85.89,80.0,96.0,12.88,209,0.0,7.2,1.31,1.5,0.67,2.1,1.16,216,0,0.9,0,0.06,0,0.0,0.14,216,0,100,75.0,56.83,30.5,90.0,33.76,216
0,2,6,260.82,281.04,269.45,275.35,271.93,271.85,269.81,274.87,4.35,216,999,1034,1012.0,1015.07,1008.0,1023.0,9.02,216,28,100,93.0,88.91,86.0,97.0,12.19,211,0.0,11.3,1.5,1.72,0.75,2.1,1.47,216,0,0.9,0,0.01,0,0.0,0.08,216,0,100,55.0,50.56,17.0,90.0,34.43,216
