modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,iteration,l1_ratio,max_features,n_estimators,min_samples_leaf,tol,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,rank1,rank2,overallRank
modelClass=Lasso/isMultiWeek=True/alpha=0.0009/tol=0.0001,10,0.7445258873208263,1.2735465304112241,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0009,,,,207_sklearn,,,,,,0.0001,0.18316854998370305,0.3756953785052112,46.0,14.0,1.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0009/tol=1e-05,10,0.7447547622677764,1.2735657628942305,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0009,,,,208_sklearn,,,,,,1e-05,0.18291744756003525,0.37568595055912757,48.0,15.0,2.0
modelClass=Lasso/isMultiWeek=True/alpha=0.001,10,0.7448752129852148,1.2792496685933727,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.001,,,,11_sklearn,,,,,,,0.18278529912053004,0.3728996459276279,49.0,20.0,3.0
modelClass=Lasso/isMultiWeek=True/alpha=0.001/tol=1e-05,10,0.7450674065794338,1.2792932759592417,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.001,,,,184_sklearn,,,,,,1e-05,0.18257444040503965,0.3728782691821435,50.0,23.0,4.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0008/tol=0.0001,10,0.7453078208382851,1.2689904164462564,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0008,,,,209_sklearn,,,,,,0.0001,0.18231067801476372,0.37792882890255775,51.0,12.0,5.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0008/tol=1e-05,10,0.7453604250413379,1.2690583052033615,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0008,,,,210_sklearn,,,,,,1e-05,0.18225296508874142,0.37789554918815693,52.0,13.0,6.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0007/tol=0.0001,10,0.7491503157629352,1.2657142433412116,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0007,,,,211_sklearn,,,,,,0.0001,0.1780950143898537,0.3795348401172685,59.0,8.0,7.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0007/tol=1e-05,10,0.7491619823157022,1.2657635338571862,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0007,,,,212_sklearn,,,,,,1e-05,0.1780822148252239,0.3795106774375517,60.0,9.0,8.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.001/l1_ratio=0.9,10,0.7538660253107474,1.281376780866947,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.001,,,,53_sklearn,,0.9,,,,,0.1729213328115592,0.37185691526084824,65.0,26.0,9.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0006/tol=0.0001,10,0.7581241049968658,1.2638188073706471,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0006,,,,213_sklearn,,,,,,0.0001,0.16824972439131602,0.3804640008569148,67.0,6.0,10.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0006/tol=1e-05,10,0.7581521752714477,1.2638887134751253,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0006,,,,214_sklearn,,,,,,1e-05,0.16821892803691169,0.3804297322196453,68.0,7.0,11.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.0009/l1_ratio=0.7/tol=1e-05,10,0.7618239991755732,1.2818096120346059,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.0009,,,,307_sklearn,,0.7,,,,1e-05,0.16419051036213594,0.37164473730594527,74.0,27.0,12.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.0009/l1_ratio=0.7/tol=0.0001,10,0.7619207007368611,1.2818639319013563,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.0009,,,,306_sklearn,,0.7,,,,0.0001,0.16408441750778283,0.3716181091906456,75.0,28.0,13.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.001/l1_ratio=0.8,10,0.7625876732091863,1.282446344305726,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.001,,,,52_sklearn,,0.8,,,,,0.16335267116965238,0.3713326050908885,77.0,29.0,14.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.001/l1_ratio=0.7,10,0.7631551401190269,1.2845652997583303,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.001,,,,51_sklearn,,0.7,,,,,0.16273009400115485,0.37029387297532507,78.0,34.0,15.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.001/l1_ratio=0.6,10,0.7654402471148054,1.2878942518279062,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.001,,,,50_sklearn,,0.6,,,,,0.1602230659815907,0.3686619890102376,80.0,35.0,16.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.5/min_samples_leaf=8,10,0.7325359740666398,1.4034031438475507,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,347_sklearn,,,0.5,1000.0,8.0,,0.19632287865886763,0.3120384315746709,25.0,81.0,17.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.0008/l1_ratio=0.7/tol=1e-05,10,0.7664051937700298,1.2804085793733042,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.0008,,,,305_sklearn,,0.7,,,,1e-05,0.15916440732512455,0.3723315368412817,81.0,24.0,17.0
modelClass=ElasticNet/isMultiWeek=True/alpha=0.0008/l1_ratio=0.7/tol=0.0001,10,0.7665262145917313,1.2804872966708656,0.9114804373729389,2.0399441019064355,ElasticNet,True,,,,,0.0008,,,,304_sklearn,,0.7,,,,0.0001,0.15903163341496768,0.37229294887336245,82.0,25.0,18.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.6/min_samples_leaf=8,10,0.7055023373708122,1.4068710394378248,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,351_sklearn,,,0.6,1000.0,8.0,,0.22598192079228271,0.3103384361742905,11.0,84.0,19.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0005/tol=0.0001,10,0.7670413312057449,1.262458010533488,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0005,,,,215_sklearn,,,,,,0.0001,0.1584664906067487,0.38113107640858673,85.0,4.0,20.0
modelClass=Lasso/isMultiWeek=True/alpha=0.0005/tol=1e-05,10,0.7670637505159934,1.262501255287297,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.0005,,,,216_sklearn,,,,,,1e-05,0.1584418940171465,0.3811098774189828,86.0,5.0,21.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.7/min_samples_leaf=8,10,0.6971291557773154,1.4090256330130106,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,355_sklearn,,,0.7,1000.0,8.0,,0.2351682743882304,0.30928223391209503,6.0,87.0,22.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.001,10,0.7684721691904215,1.2589737580856086,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.001,,,,20_sklearn,,,,,,,0.15689669500169925,0.38283909009613,89.0,1.0,23.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.5/min_samples_leaf=4,10,0.7699254048840389,1.4091746229955975,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,346_sklearn,,,0.5,1000.0,4.0,,0.15530232650619327,0.3092091976056357,93.0,88.0,24.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.4/min_samples_leaf=8,10,0.770076713591378,1.4045517448360323,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,343_sklearn,,,0.4,1000.0,8.0,,0.15513632326450533,0.3114753764461465,94.0,83.0,25.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.6/min_samples_leaf=1,10,0.7647377675198728,1.412090199108745,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,348_sklearn,,,0.6,1000.0,1.0,,0.16099376776094793,0.3077799544658738,79.0,96.0,26.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.7/min_samples_leaf=1,10,0.7524773959945364,1.4125079287598408,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,352_sklearn,,,0.7,1000.0,1.0,,0.17444482060051633,0.30757517941801565,64.0,97.0,27.0
modelClass=RandomForrest/isMultiWeek=True/n_estimators=1000/max_features=0.8/min_samples_leaf=8,10,0.673381782796961,1.4134101369497984,0.9114804373729389,2.0399441019064355,RandomForrest,True,,,,,,,,,359_sklearn,,,0.8,1000.0,8.0,,0.26122190319544736,0.3071329083826895,3.0,98.0,28.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.002/tol=0.0001,10,0.7727042298203242,1.3053828267909162,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.002,,,,180_sklearn,,,,,,0.0001,0.15225363251085713,0.3600889232352166,98.0,43.0,28.0
modelClass=MultiTaskLasso/isMultiWeek=True/alpha=0.002/tol=1e-05,10,0.7727855744599842,1.3053862390125255,0.9114804373729389,2.0399441019064355,MultiTaskLasso,True,,,,,0.002,,,,181_sklearn,,,,,,1e-05,0.15216438798478207,0.3600872505317312,99.0,44.0,29.0
modelClass=Lasso/isMultiWeek=True/alpha=0.002/tol=1e-05,10,0.7732650512728974,1.3455675547436616,0.9114804373729389,2.0399441019064355,Lasso,True,,,,,0.002,,,,192_sklearn,,,,,,1e-05,0.15163834618152067,0.3403899874088914,102.0,49.0,30.0
